line_name,line_number,line_hex_color,station_name,station_number,latitude,longitude
Сокольническая,1,E42313,Бульвар Рокоссовского,0,"55.814916","37.732227"
Сокольническая,1,E42313,Черкизовская,1,"55.802787","37.744863"
Сокольническая,1,E42313,Преображенская площадь,2,"55.796322","37.713582"
Сокольническая,1,E42313,Сокольники,3,"55.789282","37.679895"
Сокольническая,1,E42313,Красносельская,4,"55.780014","37.666097"
Сокольническая,1,E42313,Комсомольская,5,"55.774072","37.654565"
Сокольническая,1,E42313,Красные ворота,6,"55.768307","37.6478"
Сокольническая,1,E42313,Чистые пруды,7,"55.76499","37.638293"
Сокольническая,1,E42313,Лубянка,8,"55.759889","37.625336"
Сокольническая,1,E42313,Охотный ряд,9,"55.757228","37.615078"
Сокольническая,1,E42313,Библиотека им.Ленина,10,"55.752123","37.610388"
Сокольническая,1,E42313,Кропоткинская,11,"55.745297","37.604217"
Сокольническая,1,E42313,Парк культуры,12,"55.736163","37.595027"
Сокольническая,1,E42313,Фрунзенская,13,"55.727462","37.58022"
Сокольническая,1,E42313,Спортивная,14,"55.722388","37.562041"
Сокольническая,1,E42313,Воробьевы горы,15,"55.709169","37.557293"
Сокольническая,1,E42313,Университет,16,"55.69329","37.534511"
Сокольническая,1,E42313,Проспект Вернадского,17,"55.676549","37.504584"
Сокольническая,1,E42313,Юго-Западная,18,"55.663146","37.482852"
Сокольническая,1,E42313,Тропарево,19,"55.6459","37.4725"
Сокольническая,1,E42313,Румянцево,20,"55.633","37.4419"
Сокольническая,1,E42313,Саларьево,21,"55.6227","37.424"
Замоскворецкая,2,4FB04F,Речной вокзал,0,"55.854152","37.476728"
Замоскворецкая,2,4FB04F,Водный стадион,1,"55.838978","37.487515"
Замоскворецкая,2,4FB04F,Войковская,2,"55.818923","37.497791"
Замоскворецкая,2,4FB04F,Сокол,3,"55.805564","37.515245"
Замоскворецкая,2,4FB04F,Аэропорт,4,"55.800441","37.530477"
Замоскворецкая,2,4FB04F,Динамо,5,"55.789704","37.558212"
Замоскворецкая,2,4FB04F,Белорусская,6,"55.777439","37.582107"
Замоскворецкая,2,4FB04F,Маяковская,7,"55.769808","37.596192"
Замоскворецкая,2,4FB04F,Тверская,8,"55.765343","37.603918"
Замоскворецкая,2,4FB04F,Театральная,9,"55.758808","37.61768"
Замоскворецкая,2,4FB04F,Новокузнецкая,10,"55.742391","37.62928"
Замоскворецкая,2,4FB04F,Павелецкая,11,"55.729741","37.638693"
Замоскворецкая,2,4FB04F,Автозаводская,12,"55.706634","37.657008"
Замоскворецкая,2,4FB04F,Технопарк,13,"55.695","37.664167"
Замоскворецкая,2,4FB04F,Коломенская,14,"55.677423","37.663719"
Замоскворецкая,2,4FB04F,Каширская,15,"55.655745","37.649683"
Замоскворецкая,2,4FB04F,Кантемировская,16,"55.636107","37.656218"
Замоскворецкая,2,4FB04F,Царицыно,17,"55.620982","37.669612"
Замоскворецкая,2,4FB04F,Орехово,18,"55.61269","37.695214"
Замоскворецкая,2,4FB04F,Домодедовская,19,"55.610131","37.717111"
Замоскворецкая,2,4FB04F,Красногвардейская,20,"55.614075","37.742697"
Замоскворецкая,2,4FB04F,Алма-Атинская,21,"55.63349","37.765678"
Арбатско-Покровская,3,0072BA,Щелковская,0,"55.809962","37.798261"
Арбатско-Покровская,3,0072BA,Первомайская,1,"55.794376","37.799364"
Арбатско-Покровская,3,0072BA,Измайловская,2,"55.787713","37.779896"
Арбатско-Покровская,3,0072BA,Партизанская,3,"55.788401","37.74882"
Арбатско-Покровская,3,0072BA,Семеновская,4,"55.783096","37.719289"
Арбатско-Покровская,3,0072BA,Электрозаводская,5,"55.782057","37.7053"
Арбатско-Покровская,3,0072BA,Бауманская,6,"55.772405","37.67904"
Арбатско-Покровская,3,0072BA,Площадь Революции,7,"55.756741","37.62236"
Арбатско-Покровская,3,0072BA,Курская,8,"55.758564","37.659039"
Арбатско-Покровская,3,0072BA,Арбатская,9,"55.752312","37.60349"
Арбатско-Покровская,3,0072BA,Смоленская,10,"55.747713","37.583802"
Арбатско-Покровская,3,0072BA,Киевская,11,"55.743117","37.564132"
Арбатско-Покровская,3,0072BA,Парк Победы,12,"55.735679","37.516865"
Арбатско-Покровская,3,0072BA,Славянский бульвар,13,"55.729542","37.470973"
Арбатско-Покровская,3,0072BA,Кунцевская,14,"55.730634","37.445123"
Арбатско-Покровская,3,0072BA,Молодежная,15,"55.741375","37.415627"
Арбатско-Покровская,3,0072BA,Крылатское,16,"55.756842","37.408139"
Арбатско-Покровская,3,0072BA,Строгино,17,"55.803831","37.402405"
Арбатско-Покровская,3,0072BA,Мякинино,18,"55.823342","37.385214"
Арбатско-Покровская,3,0072BA,Волоколамская,19,"55.835154","37.382453"
Арбатско-Покровская,3,0072BA,Митино,20,"55.846098","37.36122"
Арбатско-Покровская,3,0072BA,Пятницкое шоссе,21,"55.853634","37.353108"
Филевская,4,1EBCEF,Кунцевская,0,"55.730815","37.446754"
Филевская,4,1EBCEF,Пионерская,1,"55.736027","37.466728"
Филевская,4,1EBCEF,Филевский парк,2,"55.739665","37.483902"
Филевская,4,1EBCEF,Багратионовская,3,"55.743544","37.497042"
Филевская,4,1EBCEF,Фили,4,"55.746763","37.514035"
Филевская,4,1EBCEF,Кутузовская,5,"55.740544","37.5341"
Филевская,4,1EBCEF,Студенческая,6,"55.738761","37.54842"
Филевская,4,1EBCEF,Киевская,7,"55.743168","37.565425"
Филевская,4,1EBCEF,Смоленская,8,"55.749083","37.582173"
Филевская,4,1EBCEF,Арбатская,9,"55.752122","37.601553"
Филевская,4,1EBCEF,Александровский сад,10,"55.752255","37.608775"
Филевская,4,1EBCEF,Выставочная,11,"55.750243","37.542641"
Филевская,4,1EBCEF,Международная,12,"55.748324","37.533282"
Кольцевая,5,915133,Новослободская,0,"55.779606","37.601252"
Кольцевая,5,915133,Проспект Мира,1,"55.779584","37.633646"
Кольцевая,5,915133,Комсомольская,2,"55.775672","37.654772"
Кольцевая,5,915133,Курская,3,"55.758631","37.661059"
Кольцевая,5,915133,Таганская,4,"55.742396","37.653334"
Кольцевая,5,915133,Павелецкая,5,"55.731414","37.636294"
Кольцевая,5,915133,Добрынинская,6,"55.728994","37.622533"
Кольцевая,5,915133,Октябрьская,7,"55.729264","37.611049"
Кольцевая,5,915133,Парк культуры,8,"55.735221","37.593095"
Кольцевая,5,915133,Киевская,10,"55.74361","37.56735"
Кольцевая,5,915133,Краснопресненская,11,"55.760378","37.577114"
Кольцевая,5,915133,Белорусская,12,"55.775179","37.582303"
Калужско-Рижская,6,F07E24,Медведково,0,"55.888103","37.661562"
Калужско-Рижская,6,F07E24,Бабушкинская,1,"55.870641","37.664341"
Калужско-Рижская,6,F07E24,Свиблово,2,"55.855558","37.653379"
Калужско-Рижская,6,F07E24,Ботанический сад,3,"55.844597","37.637811"
Калужско-Рижская,6,F07E24,ВДНХ,4,"55.819626","37.640751"
Калужско-Рижская,6,F07E24,Алексеевская,5,"55.807794","37.638699"
Калужско-Рижская,6,F07E24,Рижская,6,"55.792494","37.636114"
Калужско-Рижская,6,F07E24,Проспект Мира,7,"55.781827","37.633199"
Калужско-Рижская,6,F07E24,Сухаревская,8,"55.772315","37.63285"
Калужско-Рижская,6,F07E24,Тургеневская,9,"55.765371","37.636732"
Калужско-Рижская,6,F07E24,Китай-город,10,"55.756498","37.631326"
Калужско-Рижская,6,F07E24,Третьяковская,11,"55.74073","37.625624"
Калужско-Рижская,6,F07E24,Октябрьская,12,"55.731232","37.612851"
Калужско-Рижская,6,F07E24,Шаболовская,13,"55.718828","37.607892"
Калужско-Рижская,6,F07E24,Ленинский проспект,14,"55.70678","37.58499"
Калужско-Рижская,6,F07E24,Академическая,15,"55.687147","37.5723"
Калужско-Рижская,6,F07E24,Профсоюзная,16,"55.677671","37.562595"
Калужско-Рижская,6,F07E24,Новые Черемушки,17,"55.670077","37.554493"
Калужско-Рижская,6,F07E24,Калужская,18,"55.656682","37.540075"
Калужско-Рижская,6,F07E24,Беляево,19,"55.642357","37.526115"
Калужско-Рижская,6,F07E24,Коньково,20,"55.631857","37.519156"
Калужско-Рижская,6,F07E24,Теплый Стан,21,"55.61873","37.505912"
Калужско-Рижская,6,F07E24,Ясенево,22,"55.606182","37.5334"
Калужско-Рижская,6,F07E24,Новоясеневская,23,"55.601947","37.553017"
Таганско-Краснопресненская,7,"9,43E+92",Планерная,0,"55.859676","37.436808"
Таганско-Краснопресненская,7,"9,43E+92",Сходненская,1,"55.84926","37.44076"
Таганско-Краснопресненская,7,"9,43E+92",Тушинская,2,"55.825479","37.437024"
Таганско-Краснопресненская,7,"9,43E+92",Спартак,3,"55.8182","37.4352"
Таганско-Краснопресненская,7,"9,43E+92",Щукинская,4,"55.8094","37.463241"
Таганско-Краснопресненская,7,"9,43E+92",Октябрьское поле,5,"55.793581","37.493317"
Таганско-Краснопресненская,7,"9,43E+92",Полежаевская,6,"55.777201","37.517895"
Таганско-Краснопресненская,7,"9,43E+92",Беговая,7,"55.773505","37.545518"
Таганско-Краснопресненская,7,"9,43E+92",Улица 1905 года,8,"55.763944","37.562271"
Таганско-Краснопресненская,7,"9,43E+92",Баррикадная,9,"55.760793","37.581242"
Таганско-Краснопресненская,7,"9,43E+92",Пушкинская,10,"55.765607","37.604356"
Таганско-Краснопресненская,7,"9,43E+92",Кузнецкий мост,11,"55.761498","37.624423"
Таганско-Краснопресненская,7,"9,43E+92",Китай-город,12,"55.75436","37.633877"
Таганско-Краснопресненская,7,"9,43E+92",Таганская,13,"55.739502","37.653605"
Таганско-Краснопресненская,7,"9,43E+92",Пролетарская,14,"55.731546","37.666917"
Таганско-Краснопресненская,7,"9,43E+92",Волгоградский проспект,15,"55.725546","37.685197"
Таганско-Краснопресненская,7,"9,43E+92",Текстильщики,16,"55.709211","37.732117"
Таганско-Краснопресненская,7,"9,43E+92",Кузьминки,17,"55.705493","37.763295"
Таганско-Краснопресненская,7,"9,43E+92",Рязанский проспект,18,"55.716139","37.792694"
Таганско-Краснопресненская,7,"9,43E+92",Выхино,19,"55.715983","37.816788"
Таганско-Краснопресненская,7,"9,43E+92",Лермонтовский проспект,20,"55.702036","37.851044"
Таганско-Краснопресненская,7,"9,43E+92",Жулебино,21,"55.684722","37.855833"
Таганско-Краснопресненская,7,"9,43E+92",Котельники,22,"55.6743","37.8582"
Калининская,8,FFCD1C,Новокосино,0,"55.745113","37.864052"
Калининская,8,FFCD1C,Новогиреево,1,"55.752237","37.814587"
Калининская,8,FFCD1C,Перово,2,"55.75098","37.78422"
Калининская,8,FFCD1C,Шоссе энтузиастов,3,"55.75809","37.751703"
Калининская,8,FFCD1C,Авиамоторная,4,"55.751933","37.717444"
Калининская,8,FFCD1C,Площадь Ильича,5,"55.747115","37.680726"
Калининская,8,FFCD1C,Марксистская,6,"55.740746","37.65604"
Калининская,8,FFCD1C,Третьяковская,7,"55.741125","37.626142"
Калининская,8,FFCD1C,Деловой центр,8,"55.7491","37.5395"
Калининская,8,FFCD1C,Парк Победы,9,"55.736478","37.514401"
Серпуховско-Тимирязевская,9,ADACAC,Алтуфьево,0,"55.899034","37.586473"
Серпуховско-Тимирязевская,9,ADACAC,Бибирево,1,"55.883868","37.603011"
Серпуховско-Тимирязевская,9,ADACAC,Отрадное,2,"55.864273","37.605066"
Серпуховско-Тимирязевская,9,ADACAC,Владыкино,3,"55.848236","37.590451"
Серпуховско-Тимирязевская,9,ADACAC,Петровско-Разумовская,4,"55.836565","37.575512"
Серпуховско-Тимирязевская,9,ADACAC,Тимирязевская,5,"55.81866","37.574498"
Серпуховско-Тимирязевская,9,ADACAC,Дмитровская,6,"55.808056","37.581734"
Серпуховско-Тимирязевская,9,ADACAC,Савеловская,7,"55.794054","37.587163"
Серпуховско-Тимирязевская,9,ADACAC,Менделеевская,8,"55.781999","37.599141"
Серпуховско-Тимирязевская,9,ADACAC,Цветной бульвар,9,"55.771653","37.620466"
Серпуховско-Тимирязевская,9,ADACAC,Чеховская,10,"55.765747","37.608493"
Серпуховско-Тимирязевская,9,ADACAC,Боровицкая,11,"55.750399","37.60934"
Серпуховско-Тимирязевская,9,ADACAC,Полянка,12,"55.736795","37.618594"
Серпуховско-Тимирязевская,9,ADACAC,Серпуховская,13,"55.726548","37.624792"
Серпуховско-Тимирязевская,9,ADACAC,Тульская,14,"55.70961","37.622569"
Серпуховско-Тимирязевская,9,ADACAC,Нагатинская,15,"55.682099","37.620917"
Серпуховско-Тимирязевская,9,ADACAC,Нагорная,16,"55.672962","37.610397"
Серпуховско-Тимирязевская,9,ADACAC,Нахимовский проспект,17,"55.662379","37.605274"
Серпуховско-Тимирязевская,9,ADACAC,Севастопольская,18,"55.651451","37.59809"
